ID number,Chart Date ,Latitude,Longitude,Category,Pressure
2021202201,2021091118,55.1,-54,DHF,973
2021202201,2021091200,57.2,-46.3,HF,966
2021202201,2021091206,56.9,-45.1,S,964
2021202202,2021091218,62.6,-38.8,HF,974
2021202202,2021091300,63.1,-38.1,HF,968
2021202202,2021091306,62.2,-37.3,HF,963
2021202202,2021091312,62.2,-32.9,HF,964
2021202202,2021091318,64.1,-30.2,S,968
2021202203,2021092118,64,-13,HF,NOPRES
2021202204,2021100512,52.1,-39.3,HF,966
2021202204,2021100518,51.1,-42.1,HF,956
2021202204,2021100600,49.9,-39.1,S,958
2021202205,2021100806,46.7,-55.8,DHF,1010
2021202205,2021100812,46.3,-52.4,DHF,1004
2021202205,2021100818,46.5,-50.1,DHF,998
2021202205,2021100900,47.2,-49.7,DHF,985
2021202205,2021100906,46.6,-49.5,HF,983
2021202205,2021100912,46,-48.1,S,984
2021202206,2021101900,57.1,-35.8,HF,982
2021202207,2021110918,35.1,-62.2,S,988
2021202207,2021111000,35.8,-60.1,HF,988
2021202207,2021111006,35.4,-58.8,HF,982
2021202207,2021111012,35.7,-56.5,S,988
2021202207,2021111018,36.5,-54.5,S,987
2021202207,2021111100,37.3,-52.1,DHF,984
2021202207,2021111106,38.1,-49,DHF,982
2021202207,2021111112,39.4,-45.1,DHF,984
2021202207,2021111118,42.2,-41.2,DHF,979
2021202207,2021111200,46.1,-37.9,HF,972
2021202207,2021111206,50.7,-37.8,HF,960
2021202207,2021111212,51.5,-39.9,HF,960
2021202207,2021111218,50.2,-38.1,HF,958
2021202207,2021111300,52,-34.9,S,962
2021202207,2021111306,54.4,-33,S,963
2021202207,2021111312,57.1,-31.4,DHF,964
2021202207,2021111318,60.1,-30.1,HF,963
2021202207,2021111400,63,-33.1,S,962
2021202208,2021111112,42.9,-46.9,DHF,992
2021202208,2021111118,45.9,-45,DHF,980
2021202208,2021111200,47.3,-44.9,DHF,968
2021202208,2021111206,46.9,-42.9,HF,958
2021202208,2021111212,47.9,-39.9,HF,956
2021202209,2021111600,59.5,-42,HF,nopres
2021202210,2021120106,57.2,-55.2,DHF,966
2021202210,2021120112,61.6,-55.1,HF,962
2021202210,2021120118,62.5,-55.2,HF,966
2021202210,2021120200,63.2,-51.8,S,973
2021202211,2021120506,63.4,-37.6,DHF,966
2021202211,2021120512,64,-40.4,HF,960
2021202211,2021120518,62.2,-40.9,S,967
2021202212,2021120600,44.9,-44,DHF,1020
2021202212,2021120606,47.2,-37.2,DHF,1016
2021202212,2021120612,49.1,-30.1,DHF,1006
2021202212,2021120618,50.4,-23.8,DHF,992
2021202212,2021120700,51.4,-18.2,HF,978
2021202212,2021120706,52.4,-12.6,HF,962
2021202212,2021120712,53.4,-9.6,HF,956
2021202212,2021120718,54.3,-6.9,HF,959
2021202212,2021120800,55.2,-5.4,S,962
2021202213,2021120712,52.4,-61,DHF,978
2021202213,2021120718,56.1,-58.9,DHF,961
2021202213,2021120800,57.3,-57.8,HF,945
2021202213,2021120806,57.8,-54.1,HF,948
2021202213,2021120812,58.4,-50.3,HF,952
2021202213,2021120818,58.9,-46.4,HF,960
2021202213,2021120900,60.1,-42.2,S,965
2021202214,2021120900,39.9,-66.3,DHF,1000
2021202214,2021120906,42.1,-62.8,DHF,985
2021202214,2021120912,43.4,-58.6,DHF,986
2021202214,2021120918,45.8,-54.4,HF,975
2021202214,2021121000,48,-50.9,HF,964
2021202214,2021121006,51.1,-45.8,HF,954
2021202214,2021121012,53.5,-41.1,HF,952
2021202214,2021121018,57,-37.4,HF,948
2021202214,2021121100,58.8,-33.9,HF,947
2021202214,2021121106,60.1,-31.4,HF,946
2021202214,2021121112,60.9,-29.1,HF,948
2021202214,2021121118,62,-27.1,S,952
2021202215,2021121206,48,-19.8,DHF,996
2021202215,2021121212,51.6,-15.2,DHF,992
2021202215,2021121218,54.4,-10.4,DHF,989
2021202215,2021121300,59.1,-7.4,DHF,983
2021202215,2021121306,61.9,-3.2,HF,971
2021202215,2021121312,64.5,-0.9,S,975
2021202216,2021121806,56.4,-38.9,DHF,982
2021202216,2021121812,58.6,-42.2,HF,986
2021202216,2021121818,58.8,-44.9,S,986
2021202217,2021122006,41.1,-52.9,DHF,998
2021202217,2021122012,41.1,-49.1,DHF,995
2021202217,2021122018,41.9,-45.1,DHF,989
2021202217,2021122100,43.2,-42.4,DHF,981
2021202217,2021122106,44.1,-38.9,HF,972
2021202217,2021122112,45.8,-35.3,HF,968
2021202217,2021122118,47.2,-33.7,HF,958
2021202217,2021122200,48.1,-32.3,HF,958
2021202217,2021122206,58.8,-29.6,HF,959
2021202217,2021122212,59.5,-27.9,S,958
2021202218,2021122306,60.5,-42.1,HF,nopres
2021202219,2021122406,59.7,-43,HF,nopres
2021202219,2021122412,59.7,-43,HF,nopres
2021202219,2021122418,59.7,-43,HF,nopres
2021202219,2021122500,59.7,-43,HF,nopres
2021202219,2021122506,59.7,-43,HF,nopres
2021202219,2021122512,59.7,-43,HF,nopres
2021202219,2021122518,59.7,-43,HF,nopres
2021202219,2021122600,59.7,-43,HF,nopres
2021202219,2021122606,59.7,-43,HF,nopres
2021202219,2021122612,59.7,-43,HF,nopres
2021202220,2021122712,38.9,-46.2,DHF,974
2021202220,2021122718,40.5,-41.9,DHF,967
2021202220,2021122800,44.6,-37.4,HF,962
2021202220,2021122806,47.3,-34.3,HF,959
2021202220,2021122812,49.7,-31.4,HF,959
2021202220,2021122818,41,-29.9,S,959
2021202221,2022010106,55.4,-14,HF,966
2021202221,2022010112,59.1,-13.4,HF,962
2021202221,2022010118,61.3,-11.9,HF,965
2021202221,2022010200,62.9,-9,S,967
2021202222,2022010112,58.9,-23.4,HF,960
2021202223,2022010312,64.9,-4,HF,956
2021202223,2022010318,63.7,-1.1,HF,961
2021202223,2022010400,62.5,1.1,HF,964
2021202223,2022010406,62,3.3,HF,965
2021202223,2022010412,61.2,3.3,S,970
2021202224,2022010300,47.9,-56.4,DHF,988
2021202224,2022010306,51,-52.6,DHF,983
2021202224,2022010312,52.6,-48.9,DHF,976
2021202224,2022010318,54.9,-45.7,DHF,966
2021202224,2022010400,56.8,-45.4,HF,960
2021202224,2022010406,58.2,-46.1,HF,961
2021202224,2022010412,58.9,-46.9,HF,962
2021202224,2022010418,59.8,-45.8,HF,966
2021202224,2022010500,60.8,-44.9,S,975
2021202225,2022010400,38.4,-71,HF,994
2021202225,2022010406,38.2,-65.5,HF,992
2021202225,2022010412,40.9,-59.3,HF,986
2021202225,2022010418,45,-51.2,HF,980
2021202225,2022010500,46.1,-47.2,HF,974
2021202225,2022010506,50.6,-41.6,HF,960
2021202225,2022010512,54.3,-37.8,HF,946
2021202225,2022010518,57.5,-34,HF,939
2021202225,2022010600,60.4,-31.1,HF,933
2021202225,2022010606,62.3,-30.9,HF,930
2021202225,2022010612,63,-30.9,HF,933
2021202225,2022010618,64.1,-31,HF,938
2021202225,2022010700,64.1,-32.7,S,945
2021202226,2022010700,52.2,-52.1,DHF,974
2021202226,2022010706,54.9,-46.1,HF,964
2021202226,2022010712,58.1,-37.1,HF,954
2021202226,2022010718,58.4,-30.4,HF,954
2021202226,2022010800,60,-25.4,HF,955
2021202226,2022010806,61.2,-21.8,HF,956
2021202226,2022010812,61.1,-21.2,HF,960
2021202226,2022010818,60.8,-20,S,967
2021202227,2022010706,37.7,-76.8,DHF,1004
2021202227,2022010712,39.9,-68.2,DHF,993
2021202227,2022010718,42.9,-65.6,DHF,984
2021202227,2022010800,44.4,-63.2,DHF,975
2021202227,2022010806,46.5,-60.1,HF,969
2021202227,2022010812,47.4,-56.2,HF,968
2021202227,2022010818,49.4,-51.5,HF,971
2021202227,2022010900,50.5,-46.9,HF,974
2021202227,2022010906,51.8,-41.9,HF,973
2021202227,2022010912,52.4,-35,S,976
2021202228,2022010900,54.8,-42.1,DHF,973
2021202228,2022010906,57.4,-37.1,DHF,961
2021202228,2022010912,59.1,-36.1,HF,948
2021202228,2022010918,60.9,-35.8,HF,944
2021202228,2022011000,61.3,-36.9,HF,945
2021202228,2022011006,61.1,-35.8,HF,947
2021202228,2022011012,61.8,-31.1,S,956
2021202229,2022011406,29.5,-67,DHF,1000
2021202229,2022011412,34.9,-65.2,DHF,992
2021202229,2022011418,38.5,-65.1,HF,976
2021202229,2022011500,41.1,-64.9,HF,968
2021202229,2022011506,42.5,-62.9,HF,965
2021202229,2022011512,42.9,-61.1,HF,969
2021202229,2022011518,46.8,-57.5,DHF,968
2021202229,2022011600,49.2,-56.9,HF,965
2021202229,2022011606,51.1,-54.6,HF,962
2021202229,2022011612,52.5,-52.9,S,960
2021202230,2022011900,53.1,-59.5,DHF,977
2021202230,2022011906,56.5,-56.8,DHF,980
2021202230,2022011912,57.4,-55.5,HF,984
2021202230,2022011918,60.7,-53.5,S,985
2021202231,2022012900,58.9,-19,DHF,996
2021202231,2022012906,60.7,-6.5,HF,986
2021202231,2022012912,61.8,7.8,S,974
2021202232,2022012900,32.1,-75.8,DHF,1001
2021202232,2022012906,36.1,-72.1,DHF,990
2021202232,2022012912,38.9,-69.1,DHF,975
2021202232,2022012918,40.9,-67.8,HF,972
2021202232,2022013000,42.5,-67.5,HF,969
2021202232,2022013006,44,-66.1,HF,968
2021202232,2022013012,47.9,-62.9,S,972
2021202233,2022013018,54.1,-56.1,DHF,972
2021202233,2022013100,56.4,-56.1,HF,965
2021202233,2022013106,58.9,-52.7,S,967
2021202234,2022020406,60,-46.1,DHF,990
2021202234,2022020412,60.9,-40.8,DHF,980
2021202234,2022020418,62.3,-40.9,HF,970
2021202234,2022020500,62,-40.7,HF,968
2021202234,2022020506,61.9,-36.3,HF,968
2021202234,2022020512,62,-32.3,S,972
2021202235,2022020518,47.1,-56.9,DHF,995
2021202235,2022020600,48.2,-52.1,DHF,989
2021202235,2022020606,51.6,-48.4,DHF,982
2021202235,2022020612,53.1,-45.1,DHF,971
2021202235,2022020618,57.5,-39.9,HF,953
2021202235,2022020700,61,-38.1,HF,936
2021202235,2022020706,61.4,-37.5,HF,928
2021202235,2022020712,62.9,-33.6,HF,928
2021202235,2022020718,63.3,-31.8,HF,935
2021202235,2022020800,64,-28.1,HF,938
2021202235,2022020806,64.4,-27.1,HF,944
2021202235,2022020812,63.7,-28.5,HF,949
2021202235,2022020818,63.1,-27.6,HF,956
2021202235,2022020900,62.5,-25.1,S,964
2021202236,2022021400,60.2,-39.3,DHF,978
2021202236,2022021406,60.9,-38.9,DHF,970
2021202236,2022021412,62,-37.9,DHF,966
2021202236,2022021418,62.4,-38.8,HF,962
2021202236,2022021500,62.6,-38,HF,961
2021202236,2022021506,62.3,-38.2,HF,957
2021202236,2022021512,62.9,-39.1,HF,958
2021202236,2022021518,62.1,-39.8,HF,955
2021202236,2022021600,61.7,-39.7,S,958
2021202237,2022021700,42.6,-33.9,DHF,1018
2021202237,2022021706,45.2,-28.2,DHF,1009
2021202237,2022021712,46.9,-24.4,DHF,1001
2021202237,2022021718,50.7,-19.2,DHF,984
2021202237,2022021800,51.1,-15.1,HF,973
2021202237,2022021806,52.1,-8.8,HF,974
2021202237,2022021812,55.8,-3.2,HF,972
2021202237,2022021818,57.2,4.9,S,966
2021202238,2022021912,57.5,-35.1,DHF,964
2021202238,2022021918,59.4,-30.4,DHF,954
2021202238,2022022000,60.2,-25.1,HF,952
2021202238,2022022006,61.2,-22.2,HF,952
2021202238,2022022012,61.3,-19.6,HF,952
2021202238,2022022018,60.3,-13.1,HF,956
2021202238,2022022100,59.4,-7,HF,969
2021202238,2022022106,56.2,0.9,S,978
2021202239,2022021912,60.9,-37.8,DHF,968
2021202239,2022021918,60.7,-37.9,DHF,967
