ID number,Chart Date ,Latitude,Longitude,Category,Pressure
2021202239,2022022000,62.2,-37.2,HF,965
2021202239,2022022006,61.3,-38.9,HF,968
2021202239,2022022012,61.1,-35.1,S,978
2021202240,2022022100,51.9,-41.1,DHF,986
2021202240,2022022106,55.1,-37.7,DHF,972
2021202240,2022022112,58.3,-32.2,HF,964
2021202240,2022022118,62,-27.7,HF,949
2021202240,2022022200,63.9,-24.8,HF,948
2021202241,2022022218,60.9,-39.4,HF,958
2021202241,2022022300,59.6,-35.8,HF,958
2021202241,2022022306,60,-27.6,HF,957
2021202241,2022022312,60.1,-22.1,HF,964
2021202241,2022022318,61,-15.4,HF,961
2021202241,2022022400,62.9,-8.3,S,966
2021202242,2022022312,61.2,-36.8,HF,970
2021202242,2022022318,60.6,-31.9,HF,961
2021202242,2022022400,59.3,-27.1,S,982
2021202243,2022022406,52.9,-52.1,DHF,985
2021202243,2022022412,53.1,-50.7,DHF,974
2021202243,2022022418,54.3,-46.2,DHF,962
2021202243,2022022500,56.2,-42.4,HF,955
2021202243,2022022506,57.3,-39.4,HF,947
2021202243,2022022512,58.6,-35.7,HF,946
2021202243,2022022518,60.9,-32.1,HF,944
2021202243,2022022600,62.6,-31.9,HF,946
2021202243,2022022606,63.7,-33.1,HF,947
2021202243,2022022612,63.3,-36.1,HF,948
2021202243,2022022618,62.2,-38.3,HF,952
2021202243,2022022700,61.4,-38.1,S,955
2021202244,2022022606,43.5,-55.1,DHF,990
2021202244,2022022612,45,-48.1,HF,980
2021202244,2022022618,47,-40.9,HF,967
2021202244,2022022700,49.4,-34.8,HF,962
2021202244,2022022706,51.9,-28.6,HF,957
2021202244,2022022712,54.9,-25.9,HF,954
2021202244,2022022718,57.1,-22.9,HF,952
2021202244,2022022800,59.8,-21.4,HF,957
2021202244,2022022806,62.1,-19,HF,956
2021202244,2022022812,63.9,-17.1,S,966
2021202245,2022022818,50.4,-47.8,DHF,984
2021202245,2022030100,52.9,-46.8,DHF,972
2021202245,2022030106,53,-44.5,HF,963
2021202245,2022030112,54.4,-42,HF,957
2021202245,2022030118,56.2,-40.3,HF,952
2021202245,2022030200,57.8,-38.1,HF,955
2021202245,2022030206,59.4,-37.1,HF,954
2021202245,2022030212,60.3,-36.3,HF,958
2021202245,2022030218,61.8,-37.1,HF,963
2021202245,2022030300,62.8,-36.1,S,971
2021202246,2022030300,40.9,-48.9,DHF,998
2021202246,2022030306,43.2,-44.2,DHF,991
2021202246,2022030312,45.2,-39.9,HF,987
2021202246,2022030318,47.4,-34.9,HF,984
2021202246,2022030400,49,-30.2,HF,985
2021202246,2022030406,50,-26.8,HF,982
2021202246,2022030412,50.3,-23.4,S,986
2021202247,2022030700,43.1,-26.8,DHF,996
2021202247,2022030706,44.8,-23,HF,987
2021202247,2022030712,45.4,-19,HF,984
2021202247,2022030718,47.3,-16.4,HF,984
2021202247,2022030800,49.1,-15.2,DHF,984
2021202247,2022030806,51.4,-12.9,DHF,980
2021202247,2022030812,54.6,-12.2,DHF,976
2021202247,2022030818,58.6,-12.8,HF,967
2021202247,2022030900,63.1,-14.2,HF,964
2021202248,2022030806,56.4,-22.7,DHF,965
2021202248,2022030812,57.4,-21.3,HF,960
2021202248,2022030818,59.1,-21,HF,956
2021202248,2022030900,60.2,-19.2,S,958
2021202248,2022030906,62.8,-17.1,HF,960
2021202249,2022030900,51.4,-51.7,DHF,957
2021202249,2022030906,51.2,-49.3,DHF,954
2021202249,2022030912,50.5,-43.9,HF,957
2021202249,2022030918,50.9,-38.1,HF,957
2021202249,2022031000,52.3,-35.7,S,956
2021202250,2022031200,62.8,-36.8,DHF,958
2021202250,2022031206,62.4,-39.2,HF,959
2021202250,2022031212,61.1,-41.2,HF,960
2021202250,2022031218,61.1,-38.4,HF,967
2021202250,2022031300,61.3,-37.1,HF,971
2021202250,2022031306,61.9,-35.8,S,979
2021202251,2022031306,50.7,-60.1,DHF,958
2021202251,2022031312,53.6,-56.2,DHF,948
2021202251,2022031318,56.1,-53.2,HF,933
2021202251,2022031400,57.9,-49.1,HF,930
2021202251,2022031406,58.7,-43.8,HF,931
2021202251,2022031412,61.1,-38.4,HF,933
2021202251,2022031418,63.2,-37,HF,937
2021202251,2022031500,64.2,-37,HF,940
2021202251,2022031506,60.5,-40,HF,0
2021202252,2022031718,44.3,-38.1,DHF,984
2021202252,2022031800,44,-36.1,HF,981
2021202252,2022031806,44.5,-32.9,HF,983
2021202252,2022031812,45.2,-29.2,DHF,987
2021202253,2022031912,46.9,-43.8,DHF,984
2021202253,2022031918,48.2,-41.1,DHF,973
2021202253,2022032000,48.8,-39.1,HF,967
2021202253,2022032006,48.9,-37.1,HF,965
2021202253,2022032012,49.3,-34.4,S,968
2021202254,2022033112,45.8,-42.9,HF,981
2021202254,2022033118,48.9,-41.9,HF,975
2021202254,2022040100,51.4,-40.3,S,976
2021202255,2022040800,39,-46.1,DHF,996
2021202255,2022040806,40.2,-40.9,DHF,980
2021202255,2022040812,41.5,-36.4,HF,976
2021202255,2022040818,43.5,-33.3,HF,966
2021202255,2022040900,45.2,-31.1,HF,964
2021202255,2022040906,46.9,-29.8,S,959
2021202256,2022051606,43.8,-24.7,DHF,976
2021202256,2022051612,45.9,-21.3,HF,974
2021202256,2022051618,48.4,-19.6,HF,972
2021202256,2022051700,51.8,-19.1,S,973
